workerid,hitId,start_time,response,response_order
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Flower,0
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Flag,1
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Fish,2
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Fat,3
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,fly,4
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Fact,5
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Fist,6
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Fall,7
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Few,8
f05f3bd688f9aaf86e041733f0e9222975f6fc998ff7ee598c709f3dcf37132b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:31:35.207Z,Fast,9
485652fa9767a0dacb10dd7022e45fea38b74d879d0af56e36aa2af4e6d1f51b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:39:09.374Z,frog,0
485652fa9767a0dacb10dd7022e45fea38b74d879d0af56e36aa2af4e6d1f51b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:39:09.374Z,fickle,1
485652fa9767a0dacb10dd7022e45fea38b74d879d0af56e36aa2af4e6d1f51b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:39:09.374Z,fraud,2
485652fa9767a0dacb10dd7022e45fea38b74d879d0af56e36aa2af4e6d1f51b,5ded3ebd99baf01ae538e8cde6a14d1a7b7f84ba2fe7a805c6e55fdf2c96a0e0,2024-09-09T15:39:09.374Z,fine,3
