assignment_id,hit_id,worker_id,condition,diversity,I am more creative than \% of humans (before),Increased use of AI computer programs in daily life makes you feel (before),How difficult was it to come up with uses for the last object?,Increased use of AI computer programs in daily life makes you feel (after),How many total objects encountered?,I am more creative than \% of humans (after),Hide Time,Page Load,Strategy for last object,Technical Issues?
49f80358d90464c6df9b84d7948ee7393a18a2e126916a2748dc6a3d7fd6ca5b,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,84501f9171ab54fe5674b1205e6acf2ade290427134774daf1fd1b28a46c70dc,Absent,0.4774600554805325,38,More concerned than excited,Somewhat easy,More concerned than excited,3,38,0.0,2024-09-08T14:32:59.512Z,"I just threw several ideas around and saw which one would stick. The ones that did stick, I would use those as the basis to build more ideas off of them. ",No
95f9b4a8d9246ff3703dd33fb190f0f0a79ee0d6e651499ad991db6491de76af,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,5a99c54b02415fe4e6e9425032ce27908842c41e4c2c62a8e634fb122cae4ac1,Absent,0.6211576434977291,25,More concerned than excited,Somewhat easy,More concerned than excited,4,45,0.0,2024-09-08T14:34:16.997Z,To remember any alternative uses I'd seen for a tyre before.  To look at various component parts of the tyre to think about how useful they would be and consider the materials it was made with,
596cf9e517697fc0f6c16b324b252e889858913645e2b02719313c0d0ec94fa8,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,d0579a46c15a8a7bab0d9745882c6757ad5f7e0cff7ae1fcf7ba1a6339111dec,Generate,0.5749582281050403,65,More excited than concerned,Very difficult,More excited than concerned,4,40,0.0,2024-09-08T14:29:14.010Z,Mostly just thinking of ways to manipulate the object visually in my head to serve a different purpose than the intended one. Or ways to deconstruct its parts to potentially make something else that is useful.,No
be54efaf812d6397a4567ebdf4807bb09cd69b210c76dbe131c2d0b0f470bfbe,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,e77bca1f005dab7ca45825901953d70c7b34c53a47c63a42f7984b92d4bf8c02,Absent,0.4762850590803968,44,More excited than concerned,Very difficult,More excited than concerned,4,9,0.0,2024-09-08T13:44:52.441Z,Thinking about my house and what i could use the bottle for.,no
d10adc0bea89b6dd2c1bbd792853b61fb0b751caf707f9714a2e27505a963d7e,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,57067661b015747a570cca8caf53d57abe31f9697f6b8e7ffb2f5755fb6a6ba2,Absent,0.598057450848481,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,3,60,65.953,2024-09-08T13:44:48.201Z,Trying to think about the different elements of the object that could be used in different ways.,No.
777165d0fc296f71d9787f928788f0ea79834756c88e7192001b0e12329c8f35,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,b493501ea59b350d2c0307ffbffe75efb81b161930963eacf6d3e6b76c54e616,Coach,0.6230789551207326,1,More concerned than excited,Somewhat difficult,More concerned than excited,4,1,0.0,2024-09-08T13:45:03.306Z,Think of things you can do with a round object,No
eebea737e65e1fdea08bbfb703a793537f1216fa94b2a89d589734e46a71fdcd,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,286106de198fb593bdfe582a121e51049a8d08d81c3e69f24586fe93560b0ed5,Absent,0.4606575836448791,36,More excited than concerned,Somewhat difficult,More excited than concerned,4,15,0.0,2024-09-08T13:45:04.412Z,What could I see my self doing with the said object,Snake game wasn't the smoothest
aa7a15e38d96831888d65935e44abd2754578c648ac4e3267620bc49f5feeab2,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,0791043cd2ce0c829cdbf36fac46f4b110f904e0061178fae139db9cfb62163d,Absent,0.5702876957794936,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,5,40,0.0,2024-09-08T13:46:39.129Z,To think of things that I would use it for around the house,no
196de46e47322fe3057ff9415964e1d43d9e3ca873d5f9be76ae5748249a6291,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,c8deaa38f8935b354f5dcfae4f37b7bd967b24eecfd864c129c4123e0484a739,Absent,0.4967652221763192,60,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,4,60,0.0,2024-09-08T13:46:26.017Z,Look at the shape and size of the object and consider potential uses,no
41b9083af64e4b956bb41cf651613b2e0abd67f681b031880527e4cb560e7e14,10feaf72884706c0c4f280b3efedd11e4a11475ff2ddfe0570fbcca548c482a2,43a401bb0a65a51cb375f6b9b3ee7fc97cd7b2fb0a58341d1b9fd02df1748db5,Coach,0.5796724610887491,75,Equally excited and concerned,Somewhat difficult,Equally excited and concerned,4,16,0.0,2024-09-08T13:46:58.049Z,"Thinking as my younger self, as children are more creative than adults",no
